"Time[s]","1X[g]","1Y[g]","1Z[g]","2X[g]","2Y[g]","2Z[g]","3X[g]","3Y[g]","3Z[g]","4X[g]","4Y[g]","4Z[g]"
0,0.3177741684909258,0.24888003982080656,-0.4081632653061224,0.3532182103610673,-0.510204081632653,0.19910403185664524,-0.7653061224489796,0.23547880690737857,0.16947955652849378,-0.23547880690737819,-0.7653061224489796,-0.16947955652849378
0.00025,0.3175341983617416,0.2489335238414946,-0.40833549567245064,0.3533670895190183,-0.5098188071315296,0.1991468190731964,-0.7654711158911434,0.2355780596793455,0.16935157245959553,-0.2355780596793457,-0.7654711158911439,-0.1693515724595948
0.0005,0.31729422915591976,0.24898666004594502,-0.40850771564138205,0.3535156272966829,-0.5094335558890924,0.19918932803675643,-0.7656360993727971,0.23567708486445538,0.16922358888315725,-0.23567708486445538,-0.7656360993727971,-0.16922358888315725
0.00075,0.31705426122250624,0.24903944863436286,-0.40867992494209937,0.3536638239402312,-0.5090483285111465,0.19923155890749078,-0.7658010726345046,0.2357758826268209,0.16909560598533688,-0.2357758826268209,-0.765801072634504,-0.16909560598533724
0.001,0.3168142949099964,0.24909188980754096,-0.4088521233041857,0.3538116796964656,-0.5086631256026123,0.19927351184603329,-0.7659660354172099,0.23587445313097688,0.16896762395199824,-0.23587445313097707,-0.7659660354172099,-0.16896762395199824
0.00125,0.3165743305663324,0.24914398376685332,-0.4090243104576184,0.3539591948128165,-0.5082779477675196,0.19931518701348283,-0.7661309874622373,0.2359727965418778,0.16883964296871096,-0.2359727965418778,-0.7661309874622373,-0.16883964296871096
0.0015,0.3163343685389071,0.24919573071425682,-0.4091964861327737,0.3541063695373462,-0.5078927956090117,0.19935658457140573,-0.7662959285112916,0.23607091302489755,0.168711663220751,-0.236070913024897,-0.7662959285112917,-0.16871166322075065
0.00175,0.3160944091745611,0.24924713085228656,-0.4093686500604218,0.35425320411873906,-0.507507669729343,0.19939770468182935,-0.766460858306458,0.23616880274582527,0.1685836848930996,-0.23616880274582563,-0.766460858306458,-0.16858368489309924
0.002,0.3158544528195793,0.249298184384056,-0.40954080197173715,0.35439969880630473,-0.5071225707298775,0.1994385475072446,-0.7666257765902024,0.23626646587086972,0.16845570817044192,-0.23626646587086972,-0.7666257765902021,-0.16845570817044192
0.00225,0.3156144998196971,0.24934889151325418,-0.40971294159828453,0.35454585384997644,-0.5067374992110879,0.19947911321060302,-0.7667906831053736,0.23636390256665152,0.16832773323717196,-0.236363902566651,-0.7667906831053732,-0.16832773323717234
0.0025,0.31537455052009483,0.2493992524441439,-0.4098850686720339,0.3546916695003071,-0.5063524557725573,0.1995194019553146,-0.7669555775951996,0.2364611130002049,0.16819976027738331,-0.23646111300020473,-0.7669555775951996,-0.16819976027738404
0.00275,0.3151346052653992,0.24944926738155943,-0.4100571829253491,0.354837146008466,-0.5059674410129749,0.19955941390524826,-0.7671204598032946,0.23655809733897748,0.16807178947488016,-0.23655809733897729,-0.7671204598032941,-0.1680717894748798
0.003,0.31489466439968233,0.2494989365309067,-0.4102292840909957,0.3549822836262398,-0.5055824555301375,0.1995991492247258,-0.7672853294736498,0.2366548557508269,0.16794382101316424,-0.23665485575082704,-0.76728532947365,-0.16794382101316352
0.00325,0.31465472826646074,0.24954826009815867,-0.4104013719021402,0.3551270826060303,-0.5051974999209484,0.19963860807852618,-0.7674501863506435,0.2367513884040201,0.16781585507544533,-0.2367513884040197,-0.767450186350644,-0.16781585507544577
